Wall time,Step,Value
1717585180.930721,100,12.687999725341797
1717585194.700421,200,10.843999862670898
1717585208.008494,300,10.437000274658203
1717585221.4855134,400,10.366999626159668
1717585235.5380702,500,10.366999626159668
1717585249.6461265,600,10.288000106811523
1717585263.7382371,700,10.291000366210938
1717585277.4775221,800,10.243000030517578
1717585291.4394267,900,10.263999938964844
1717585304.9768355,1000,10.23799991607666
1717585318.8227227,1100,10.196000099182129
1717585332.318444,1200,10.175000190734863
1717585345.938842,1300,10.138999938964844
1717585359.8392994,1400,10.13700008392334
1717585372.3848174,1500,10.065999984741211
1717585386.2226973,1600,10.130999565124512
1717585399.8426838,1700,10.116999626159668
1717585413.4230776,1800,10.072999954223633
1717585427.041992,1900,10.017000198364258
1717585440.6103747,2000,10.052000045776367
1717585454.1017656,2100,9.979000091552734
1717585467.731135,2200,9.993000030517578
1717585482.003532,2300,10.003000259399414
1717585495.3170798,2400,9.963000297546387
1717585508.7758496,2500,9.937000274658203
1717585522.306703,2600,9.930000305175781
1717585535.8220112,2700,9.92199993133545
1717585549.7715156,2800,9.944999694824219
1717585562.9898272,2900,9.885000228881836
1717585575.9692218,3000,9.878999710083008
1717585589.6925209,3100,9.920000076293945
1717585603.8943868,3200,9.883000373840332
1717585617.2695003,3300,9.845000267028809
1717585631.2593536,3400,9.873000144958496
1717585644.2633007,3500,9.753999710083008
1717585656.8412852,3600,9.822999954223633
1717585670.7855265,3700,9.845999717712402
1717585683.858896,3800,9.743000030517578
1717585697.483849,3900,9.793000221252441
1717585711.2210968,4000,9.800999641418457
1717585725.303067,4100,9.770000457763672
1717585771.9252555,4200,9.800000190734863
1717585791.6053863,4300,9.767000198364258
1717585805.8555965,4400,9.67199993133545
1717585819.795677,4500,9.690999984741211
1717585833.8922703,4600,9.642000198364258
1717585846.7179482,4700,9.623000144958496
1717585860.8895116,4800,9.706999778747559
1717585873.6897576,4900,9.60200023651123
1717585887.4313233,5000,9.631999969482422
1717585900.9906857,5100,9.684000015258789
1717585915.1499815,5200,9.684000015258789
1717585929.319522,5300,9.571000099182129
1717585942.646282,5400,9.477999687194824
1717585956.4917245,5500,9.574999809265137
1717585969.5131295,5600,9.496999740600586
1717585984.140223,5700,9.644000053405762
1717585997.8135288,5800,9.574999809265137
1717586011.5288427,5900,9.526000022888184
1717586025.025908,6000,9.494000434875488
1717586037.845573,6100,9.484999656677246
1717586051.7197762,6200,9.527000427246094
1717586064.9415278,6300,9.477999687194824
