Wall time,Step,Value
1717589518.507584,100,12.095999717712402
1717589532.5779252,200,10.482999801635742
1717589546.3435469,300,10.192999839782715
1717589560.5232592,400,9.97700023651123
1717589574.8111851,500,9.706999778747559
1717589588.865941,600,9.555000305175781
1717589603.2736654,700,9.413000106811523
1717589617.6540198,800,9.21500015258789
1717589632.414487,900,9.142000198364258
1717589647.3564422,1000,8.984000205993652
1717589661.8442702,1100,8.883999824523926
1717589676.309029,1200,8.803999900817871
1717589690.7644427,1300,8.741000175476074
1717589705.3716145,1400,8.630999565124512
1717589720.1985266,1500,8.631999969482422
1717589734.7674541,1600,8.5649995803833
1717589749.1497285,1700,8.461000442504883
1717589763.5936415,1800,8.414999961853027
1717589777.8371058,1900,8.409000396728516
1717589792.2364962,2000,8.390000343322754
1717589806.4949503,2100,8.41100025177002
1717589820.775174,2200,8.324000358581543
1717589834.9833193,2300,8.302000045776367
1717589849.197291,2400,8.37600040435791
1717589863.4909587,2500,8.163999557495117
1717589877.5542107,2600,8.222999572753906
1717589891.7416143,2700,8.241000175476074
1717589906.0199451,2800,8.201000213623047
1717589920.0489454,2900,8.246999740600586
1717589934.0045621,3000,8.281000137329102
1717590004.5006304,3100,8.184000015258789
1717590018.5718246,3200,8.229000091552734
1717590032.7697556,3300,8.211000442504883
1717590046.8767934,3400,8.222000122070312
1717590061.0694246,3500,8.189000129699707
1717590075.5187588,3600,8.277000427246094
1717590089.662599,3700,8.27400016784668
1717590103.6281009,3800,8.277000427246094
1717590117.8994033,3900,8.307999610900879
1717590134.4281738,4000,8.335000038146973
1717590148.29147,4100,8.3100004196167
1717590162.2040055,4200,8.357000350952148
1717590176.3702662,4300,8.321000099182129
1717590190.6080256,4400,8.302000045776367
1717590204.755156,4500,8.215999603271484
1717590218.8165493,4600,8.258999824523926
1717590233.1182797,4700,8.204999923706055
1717590247.465549,4800,8.1899995803833
1717590263.610489,4900,8.166000366210938
1717590277.7565687,5000,8.211999893188477
1717590291.83234,5100,8.192000389099121
1717590306.2704675,5200,8.163000106811523
1717590320.2631106,5300,8.11400032043457
1717590334.1438527,5400,8.133000373840332
1717590348.225617,5500,8.081000328063965
1717590362.7569249,5600,8.090999603271484
1717590376.890389,5700,8.109999656677246
1717590393.2386916,5800,8.130000114440918
1717590406.9248374,5900,8.086999893188477
1717590420.8489947,6000,8.053999900817871
1717590481.6832447,6100,8.036999702453613
1717590495.953727,6200,8.055999755859375
1717590510.0126843,6300,7.97599983215332
1717590529.8345866,6400,8.026000022888184
1717590543.8565724,6500,8.01099967956543
1717590558.049969,6600,7.99399995803833
1717590572.3865898,6700,8.020999908447266
1717590586.5701025,6800,7.9770002365112305
