Wall time,Step,Value
1717585763.883381,4162,10.105999946594238
1717586375.5339978,8325,9.442000389099121
1717586998.0835304,12488,8.062999725341797
1717587646.24622,16651,7.5
1717588275.6330333,20814,7.232999801635742
